State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,id
Alabama,AL,11,ADLAI E. STEVENSON,64.6,275075,DWIGHT D. EISENHOWER,35,149231,1952,80
Arkansas,AR,8,ADLAI E. STEVENSON,55.9,226300,DWIGHT D. EISENHOWER,43.8,177155,1952,66
Arizona,AZ,4,ADLAI E. STEVENSON,41.7,108528,DWIGHT D. EISENHOWER,58.3,152042,1952,63
California,CA,32,ADLAI E. STEVENSON,42.7,2197548,DWIGHT D. EISENHOWER,56.3,2897310,1952,50
Colorado,CO,6,ADLAI E. STEVENSON,39,245504,DWIGHT D. EISENHOWER,60.3,379782,1952,52
Connecticut,CT,8,ADLAI E. STEVENSON,43.9,481649,DWIGHT D. EISENHOWER,55.7,611012,1952,47
Delaware,DE,3,ADLAI E. STEVENSON,47.9,83315,DWIGHT D. EISENHOWER,51.8,90059,1952,70
Florida,FL,10,ADLAI E. STEVENSON,45,444950,DWIGHT D. EISENHOWER,55,544036,1952,94
Georgia,GA,12,ADLAI E. STEVENSON,69.7,456823,DWIGHT D. EISENHOWER,30.3,198961,1952,81
Iowa,IA,10,ADLAI E. STEVENSON,35.6,451513,DWIGHT D. EISENHOWER,63.8,808906,1952,42
Idaho,ID,4,ADLAI E. STEVENSON,34.4,95081,DWIGHT D. EISENHOWER,65.4,180707,1952,27
Illinois,IL,27,ADLAI E. STEVENSON,44.9,2013920,DWIGHT D. EISENHOWER,54.8,2457327,1952,31
Indiana,IN,13,ADLAI E. STEVENSON,41,801530,DWIGHT D. EISENHOWER,58.1,1136259,1952,43
Kansas,KS,8,ADLAI E. STEVENSON,30.5,273296,DWIGHT D. EISENHOWER,68.8,616302,1952,65
Kentucky,KY,10,ADLAI E. STEVENSON,49.9,495729,DWIGHT D. EISENHOWER,49.8,495029,1952,55
Louisiana,LA,10,ADLAI E. STEVENSON,52.9,345027,DWIGHT D. EISENHOWER,47.1,306925,1952,78
Massachusetts,MA,16,ADLAI E. STEVENSON,45.5,1083525,DWIGHT D. EISENHOWER,54.2,1292325,1952,36
Maryland,MD,9,ADLAI E. STEVENSON,43.8,395337,DWIGHT D. EISENHOWER,55.4,499424,1952,58
Maine,ME,5,ADLAI E. STEVENSON,33.8,118806,DWIGHT D. EISENHOWER,66,232353,1952,12
Michigan,MI,20,ADLAI E. STEVENSON,44,1230657,DWIGHT D. EISENHOWER,55.4,1551529,1952,33
Minnesota,MN,11,ADLAI E. STEVENSON,44.1,608458,DWIGHT D. EISENHOWER,55.3,763211,1952,30
Missouri,MO,13,ADLAI E. STEVENSON,49.1,929830,DWIGHT D. EISENHOWER,50.7,959429,1952,54
Mississippi,MS,8,ADLAI E. STEVENSON,60.4,172566,DWIGHT D. EISENHOWER,39.6,112966,1952,79
Montana,MT,4,ADLAI E. STEVENSON,40.1,106213,DWIGHT D. EISENHOWER,59.4,157394,1952,28
North Carolina,NC,14,ADLAI E. STEVENSON,53.9,652803,DWIGHT D. EISENHOWER,46.1,558107,1952,68
North Dakota,ND,4,ADLAI E. STEVENSON,28.4,76694,DWIGHT D. EISENHOWER,71,191712,1952,29
Nebraska,NE,6,ADLAI E. STEVENSON,30.8,188057,DWIGHT D. EISENHOWER,69.2,421603,1952,53
New Hampshire,NH,4,ADLAI E. STEVENSON,39.1,106663,DWIGHT D. EISENHOWER,60.9,166287,1952,24
New Jersey,NJ,16,ADLAI E. STEVENSON,42,1015902,DWIGHT D. EISENHOWER,56.8,1373613,1952,46
New Mexico,NM,4,ADLAI E. STEVENSON,44.3,105661,DWIGHT D. EISENHOWER,55.4,132170,1952,64
Nevada,NV,3,ADLAI E. STEVENSON,38.6,31688,DWIGHT D. EISENHOWER,61.4,50502,1952,39
New York,NY,45,ADLAI E. STEVENSON,43.6,3104601,DWIGHT D. EISENHOWER,55.5,3952813,1952,34
Ohio,OH,25,ADLAI E. STEVENSON,43.2,1600367,DWIGHT D. EISENHOWER,56.8,2100391,1952,44
Oklahoma,OK,8,ADLAI E. STEVENSON,45.4,430939,DWIGHT D. EISENHOWER,54.6,518045,1952,77
Oregon,OR,6,ADLAI E. STEVENSON,38.9,270579,DWIGHT D. EISENHOWER,60.5,420815,1952,38
Pennsylvania,PA,32,ADLAI E. STEVENSON,46.9,2146269,DWIGHT D. EISENHOWER,52.7,2415789,1952,45
Rhode Island,RI,4,ADLAI E. STEVENSON,49,203293,DWIGHT D. EISENHOWER,50.9,210935,1952,35
South Carolina,SC,8,ADLAI E. STEVENSON,50.7,173004,DWIGHT D. EISENHOWER,2.9,9793,1952,69
South Dakota,SD,4,ADLAI E. STEVENSON,30.7,90426,DWIGHT D. EISENHOWER,69.3,203857,1952,41
Tennessee,TN,11,ADLAI E. STEVENSON,49.7,443710,DWIGHT D. EISENHOWER,50,446147,1952,67
Texas,TX,24,ADLAI E. STEVENSON,46.7,969228,DWIGHT D. EISENHOWER,53.1,1102878,1952,89
Utah,UT,4,ADLAI E. STEVENSON,41.1,135364,DWIGHT D. EISENHOWER,58.9,194190,1952,51
Virginia,VA,12,ADLAI E. STEVENSON,43.4,268677,DWIGHT D. EISENHOWER,56.3,349037,1952,57
Vermont,VT,3,ADLAI E. STEVENSON,28.2,43355,DWIGHT D. EISENHOWER,71.5,109717,1952,23
Washington,WA,9,ADLAI E. STEVENSON,44.7,492845,DWIGHT D. EISENHOWER,54.3,599107,1952,26
Wisconsin,WI,12,ADLAI E. STEVENSON,38.7,622175,DWIGHT D. EISENHOWER,61,979744,1952,32
West Virginia,WV,8,ADLAI E. STEVENSON,51.9,453578,DWIGHT D. EISENHOWER,48.1,419970,1952,56
Wyoming,WY,3,ADLAI E. STEVENSON,37.1,47934,DWIGHT D. EISENHOWER,62.7,81049,1952,40
