State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,id
Alaska,AK,3,BARACK OBAMA,37.9,123594,JOHN McCAIN,59.4,193841,2008,1
Alabama,AL,9,BARACK OBAMA,38.7,813479,JOHN McCAIN,60.3,1266546,2008,80
Arkansas,AR,6,BARACK OBAMA,38.9,422310,JOHN McCAIN,58.7,638017,2008,66
Arizona,AZ,10,BARACK OBAMA,45.1,1034707,JOHN McCAIN,53.6,1230111,2008,63
California,CA,55,BARACK OBAMA,61,8274473,JOHN McCAIN,37,5011781,2008,50
Colorado,CO,9,BARACK OBAMA,53.7,1288576,JOHN McCAIN,44.7,1073589,2008,52
Connecticut,CT,7,BARACK OBAMA,60.6,997772,JOHN McCAIN,38.2,629428,2008,47
Dist. of Col.,DC,3,BARACK OBAMA,92.5,245800,JOHN McCAIN,6.5,17367,2008,59
Delaware,DE,3,BARACK OBAMA,61.9,255459,JOHN McCAIN,36.9,152374,2008,70
Florida,FL,27,BARACK OBAMA,51,4282074,JOHN McCAIN,48.2,4045624,2008,94
Georgia,GA,15,BARACK OBAMA,47,1844137,JOHN McCAIN,52.2,2048744,2008,81
Hawaii,HI,4,BARACK OBAMA,71.8,325871,JOHN McCAIN,26.6,120566,2008,86
Iowa,IA,7,BARACK OBAMA??,53.7,828940,JOHN McCAIN,44.2,682379,2008,42
Idaho,ID,4,BARACK OBAMA,36.1,236440,JOHN McCAIN,61.5,403012,2008,27
Illinois,IL,21,BARACK OBAMA??,61.9,3419673,JOHN McCAIN,36.8,2031527,2008,31
Indiana,IN,11,BARACK OBAMA??,49.9,1374039,JOHN McCAIN,48.9,1345648,2008,43
Kansas,KS,6,BARACK OBAMA,41.7,514765,JOHN McCAIN,56.6,699655,2008,65
Kentucky,KY,8,BARACK OBAMA,41.2,751985,JOHN McCAIN,57.4,1048462,2008,55
Louisiana,LA,9,BARACK OBAMA,39.9,782989,JOHN McCAIN,58.6,1148275,2008,78
Massachusetts,MA,12,BARACK OBAMA,61.8,1904097,JOHN McCAIN,36,1108854,2008,36
Maryland,MD,10,BARACK OBAMA,61.9,1629467,JOHN McCAIN,36.5,959862,2008,58
Maine,ME,4,BARACK OBAMA??,57.7,421923,JOHN McCAIN,40.4,295273,2008,12
Michigan,MI,17,BARACK OBAMA??,57.4,2872579,JOHN McCAIN,41,2048639,2008,33
Minnesota,MN,10,BARACK OBAMA??,54.1,1573354,JOHN McCAIN,43.8,1275409,2008,30
Missouri,MO,11,BARACK OBAMA,49.3,1441911,JOHN McCAIN,49.4,1445814,2008,54
Mississippi,MS,6,BARACK OBAMA,43,554662,JOHN McCAIN,56.2,724597,2008,79
Montana,MT,3,BARACK OBAMA,47.3,231667,JOHN McCAIN,49.5,242763,2008,28
North Carolina,NC,15,BARACK OBAMA,49.7,2142651,JOHN McCAIN,49.4,2128474,2008,68
North Dakota,ND,3,BARACK OBAMA,44.6,141278,JOHN McCAIN,53.3,168601,2008,29
Nebraska,NE,4,BARACK OBAMA,41.6,333319,JOHN McCAIN,56.5,452979,2008,53
New Hampshire,NH,4,BARACK OBAMA??,54.4,384826,JOHN McCAIN,44.7,316534,2008,24
New Jersey,NJ,15,BARACK OBAMA,57.3,2215422,JOHN McCAIN,41.7,1613207,2008,46
New Mexico,NM,5,BARACK OBAMA,56.9,472422,JOHN McCAIN,41.8,346832,2008,64
Nevada,NV,5,BARACK OBAMA,55.1,533736,JOHN McCAIN,42.7,412827,2008,39
New York,NY,31,BARACK OBAMA??,62.8,4769700,JOHN McCAIN,36.1,2742298,2008,34
Ohio,OH,20,BARACK OBAMA??,51.5,2933388,JOHN McCAIN,46.9,2674491,2008,44
Oklahoma,OK,7,BARACK OBAMA,34.4,502496,JOHN McCAIN,65.6,960165,2008,77
Oregon,OR,7,BARACK OBAMA,56.7,1037291,JOHN McCAIN,40.4,738475,2008,38
Pennsylvania,PA,21,BARACK OBAMA,54.3,3276363,JOHN McCAIN,44,2655885,2008,45
Rhode Island,RI,4,BARACK OBAMA,63.1,296571,JOHN McCAIN,35.2,165391,2008,35
South Carolina,SC,8,BARACK OBAMA,44.9,862449,JOHN McCAIN,53.9,1034896,2008,69
South Dakota,SD,3,BARACK OBAMA,44.7,170924,JOHN McCAIN,53.2,203054,2008,41
Tennessee,TN,11,BARACK OBAMA,41.8,1087437,JOHN McCAIN,56.9,1479178,2008,67
Texas,TX,34,BARACK OBAMA,43.7,3528633,JOHN McCAIN,55.5,4479328,2008,89
Utah,UT,5,BARACK OBAMA,34.4,327670,JOHN McCAIN,62.6,596030,2008,51
Virginia,VA,13,BARACK OBAMA,52.6,1959532,JOHN McCAIN,46.3,1725005,2008,57
Vermont,VT,3,BARACK OBAMA??,67.5,219262,JOHN McCAIN,30.4,98974,2008,23
Washington,WA,11,BARACK OBAMA,57.7,1750848,JOHN McCAIN,40.5,1229216,2008,26
Wisconsin,WI,10,BARACK OBAMA??,56.2,1677211,JOHN McCAIN,42.3,1262393,2008,32
West Virginia,WV,5,BARACK OBAMA,42.6,303857,JOHN McCAIN,55.7,397466,2008,56
Wyoming,WY,3,BARACK OBAMA,32.4,82868,JOHN McCAIN,64.4,164958,2008,40
