State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,id
Pennsylvania,PA,29,LYNDON B. JOHNSON,64.9,3130954,BARRY M. GOLDWATER,34.7,1673657,1964,45
Rhode Island,RI,4,LYNDON B. JOHNSON,80.9,315463,BARRY M. GOLDWATER,19.1,74615,1964,35
South Carolina,SC,8,LYNDON B. JOHNSON,41.1,215723,BARRY M. GOLDWATER,58.9,309048,1964,69
South Dakota,SD,4,LYNDON B. JOHNSON,55.6,163010,BARRY M. GOLDWATER,44.4,130108,1964,41
Tennessee,TN,11,LYNDON B. JOHNSON,55.5,634947,BARRY M. GOLDWATER,44.5,508965,1964,67
Texas,TX,25,LYNDON B. JOHNSON,63.3,1663185,BARRY M. GOLDWATER,36.5,958566,1964,89
Utah,UT,4,LYNDON B. JOHNSON,54.7,219628,BARRY M. GOLDWATER,45.3,181785,1964,51
Virginia,VA,12,LYNDON B. JOHNSON,53.5,558038,BARRY M. GOLDWATER,46.2,481334,1964,57
Vermont,VT,3,LYNDON B. JOHNSON,66.3,108127,BARRY M. GOLDWATER,33.7,54942,1964,23
Washington,WA,9,LYNDON B. JOHNSON,62,779881,BARRY M. GOLDWATER,37.4,470366,1964,26
Wisconsin,WI,12,LYNDON B. JOHNSON,62.1,1050424,BARRY M. GOLDWATER,37.7,638495,1964,32
West Virginia,WV,7,LYNDON B. JOHNSON,67.9,538087,BARRY M. GOLDWATER,32.1,253953,1964,56
Wyoming,WY,3,LYNDON B. JOHNSON,56.6,80718,BARRY M. GOLDWATER,43.4,61998,1964,40
